Step,FPS,TDLoss,Loss,SupervisedLoss,EpisodeScore
100,35,3.9961931705474854,4.315740585327148,0.31954729557037354,
200,34,4.742912928263347,5.099330743153891,0.35641780495643616,
300,33,7.402940432230631,7.786323070526123,0.38338259855906165,
400,8,8.558262143816268,8.9701019014631,0.41183991517339436,170.0
500,4,7.800898790359497,8.198599418004354,0.3977006822824478,-10.0
600,3,6.552753289540608,6.9388035138448085,0.38605010509490967,-8.25
700,3,6.338709592819214,6.740967671076456,0.40225815773010254,-10.0
800,3,5.567038467952183,5.937428883143833,0.37039040667670114,-2.5
900,3,5.6652856667836495,6.005003293355306,0.33971763650576275,0.0
1000,2,4.895167509714763,5.23517886797587,0.3400114228328069,-5.0
1100,2,12.464916388193767,12.82775354385376,0.3628372848033905,-8.0
1200,1,9.762355940682546,10.204706873212542,0.44235096658979145,-10.0
1300,1,7.239421208699544,7.761583248774211,0.5221619059642155,0.0
1400,1,6.791613578796387,7.2687374750773115,0.47712384661038715,0.0
1500,1,5.770265261332193,6.235117673873901,0.46485235790411633,-6.833333333333334
1600,1,5.606166158403669,5.994064807891846,0.3878987005778721,-6.75
1700,1,5.535988012949625,5.91901969909668,0.3830316960811615,-9.166666666666666
1800,1,5.658112446467081,6.050294796625773,0.3921823650598526,-3.7142857142857144
1900,1,4.838671366373697,5.216153462727865,0.3774820764859518,-10.0
2000,1,5.0866942405700675,5.463611398424421,0.37691714933940346,8.0
2100,1,12.724032084147135,13.10511827468872,0.3810861110687256,8.666666666666666
2200,1,8.797150135040283,9.234786033630371,0.4376356601715088,-5.0
2300,1,7.644058545430502,8.234548012415567,0.590489536523819,0.0
2400,1,6.76058782849993,7.272695132664271,0.5121072956493923,-10.0
2500,1,6.556768735249838,6.987610499064127,0.43084189792474115,-2.0
2600,1,7.195826768875122,7.585450172424316,0.38962334891160333,-5.0
2700,1,6.03649385770162,6.459231853485107,0.4227380156517029,1.6666666666666665
2800,1,5.510800157274519,5.932201521737235,0.42140135169029236,-6.166666666666667
2900,1,6.028558651606241,6.442209800084432,0.41365099946657813,-10.0
3000,1,6.237144629160563,6.58263603846232,0.3454913944005966,-6.25
3100,1,12.120599428812662,12.468833923339844,0.348234420021375,-2.5
3200,1,8.77965715953282,9.225983483450754,0.4463263622352055,-5.0
3300,1,7.705412228902181,8.241542657216389,0.536130448182424,5.0
3400,1,5.95120096206665,6.454150835673015,0.5029498438040415,-1.6666666666666667
3500,1,5.964111487070719,6.422874291737875,0.45876279970010125,-59.0
3600,1,5.736019134521484,6.133965492248535,0.3979463790144239,5.0
3700,1,5.2667966683705645,5.630102713902791,0.36330600082874304,-10.0
3800,1,5.437811295191446,5.810236851374309,0.37242549657821655,-3.5
3900,1,5.0849078098932905,5.4772093296051025,0.3923015743494034,1.25
4000,1,4.257772445678711,4.62418828691755,0.36641581995146616,-7.5
4100,1,7.814143657684326,8.18940798441569,0.3752645254135132,-9.2
4200,1,7.528693596522013,8.006979386011759,0.478285809357961,-6.666666666666667
4300,1,5.987252235412598,6.44528333346049,0.4580311278502146,-6.666666666666667
4400,0,5.434474945068359,5.867127009800502,0.43265210304941454,-3.2
4500,0,5.269645293553671,5.667051712671916,0.39740633467833203,-7.5
4600,0,5.618778467178345,5.989491701126099,0.37071330348650616,-10.0
4700,0,4.766819993654886,5.2083667914072675,0.4415467828512192,15.0
4800,0,5.120259966169085,5.526995045798166,0.40673510091645376,-1.0000000000000004
4900,0,4.4472155173619585,4.819702506065369,0.3724869638681412,4.0
5000,0,3.7872101068496704,4.1474136511484785,0.3602035939693451,-10.0
5100,0,6.710310061772664,7.095956722895305,0.3856467455625534,1.9999999999999996
5200,0,5.784061908721924,6.184554917471749,0.40049304280962267,0.0
5300,0,4.842659870783487,5.216489791870117,0.3738299012184143,-10.0
5400,0,4.687025109926859,5.074085076649983,0.387060006459554,-10.0
5500,0,4.879236221313477,5.27053721745809,0.3913009266058604,2.1999999999999993
5600,0,4.1766498770032605,4.5677802222115655,0.39113036223820274,-10.0
5700,0,4.2643831968307495,4.657532016436258,0.39314878980318707,-1.25
5800,0,3.8579980532328286,4.282228787740071,0.42423070470492047,-2.25
5900,0,3.9397505124409995,4.316013813018799,0.3762632558743159,-6.666666666666667
6000,0,3.332783034869603,3.7548840386526923,0.4221010335854122,-8.8
6100,0,6.213768323262532,6.603935241699219,0.3901668687661489,-1.666666666666667
6200,0,5.043708960215251,5.480453332265218,0.4367442826430003,1.6
6300,0,4.548648238182068,4.958880424499512,0.4102321515480677,21.0
6400,0,4.195175647735595,4.620032821382795,0.4248572587966919,5.0
6500,0,3.796538233757019,4.243643442789714,0.4471051941315333,-10.0
6600,0,3.6024442116419473,4.033271908760071,0.4308277368545532,0.0
6700,0,4.126434683799744,4.533409396807352,0.4069746683041255,5.0
6800,0,3.6457434722355435,4.041778291974749,0.3960348452840533,-5.0
6900,0,3.4156513611475625,3.80674930413564,0.39109795292218524,-10.0
7000,0,3.5219955841700235,3.9311595757802333,0.40916397670904797,1.25
7100,0,4.613229393959045,5.027968804041544,0.41473937531312305,-1.6666666666666667
7200,0,5.7967990807124545,6.2423636232103625,0.4455644530909402,-1.6666666666666667
7300,0,4.908922513326009,5.311261494954428,0.40233896176020306,-8.88888888888889
7400,0,3.975508451461792,4.371362686157227,0.39585423469543457,3.0
7500,0,3.8146045207977295,4.245454589525859,0.43085015813509625,-7.0
7600,0,3.815793343952724,4.246008975165231,0.4302155928952353,-5.0
7700,0,4.160117467244466,4.557887673377991,0.397770235935847,-2.0
7800,0,3.716217875480652,4.096403082211813,0.38018514712651574,-10.0
7900,0,3.725371638933817,4.1186024347941075,0.39323077102502185,-5.25
8000,0,3.3808762005397255,3.7826310225895474,0.4017549157142639,-7.5
8100,0,4.8797926505406695,5.300937016805013,0.4211442867914836,-5.125
8200,0,4.099565625190735,4.490846633911133,0.3912810683250427,-10.0
8300,0,3.8502784570058184,4.2354728778203325,0.38519443074862164,5.333333333333333
8400,0,4.0221231664930075,4.391911097935268,0.3697879101548876,13.666666666666668
8500,0,4.004152218500773,4.402061978975931,0.3979097902774811,5.0
8600,0,3.457409620285034,3.889593640963237,0.43218401074409485,-6.5
8700,0,3.6377882957458496,4.036356290181478,0.39856797953446704,-2.25
8800,0,3.8256293024335593,4.224009207316808,0.39837988785335,-10.0
8900,0,4.029099106788635,4.404579162597656,0.3754800160725912,-7.0
9000,0,3.3593877156575522,3.7387973070144653,0.37940962612628937,-6.5
9100,0,4.301218390464783,4.681399663289388,0.3801812579234441,-9.0
9200,0,4.940865584782191,5.346305097852435,0.40543949604034424,0.25
9300,0,4.323514620463053,4.703603545824687,0.38008899490038556,-3.8
9400,0,4.013075629870096,4.432496984799703,0.41942131022612256,-10.0
9500,0,3.6294018030166626,4.029428760210672,0.4000269720951716,-2.5
9600,0,3.9732797486441473,4.363460132053921,0.3901804430144174,31.0
9700,0,4.022564927736918,4.4252662261327105,0.4027012536923091,-6.2
9800,0,3.3494980732599893,3.7289870977401733,0.3794890195131302,-10.0
9900,0,4.406307776769003,4.794315656026204,0.38800803820292157,-4.875
10000,0,4.186594997133527,4.555424179349627,0.3688290928091321,-10.0
10100,0,5.320502201716105,5.707920710245768,0.38741858800252277,-7.75
10200,0,3.9671935439109802,4.388743042945862,0.4215495189030965,-10.0
10300,0,3.800239364306132,4.155034899711609,0.35479546586672467,6.0
10400,0,4.202353000640868,4.598032849175589,0.3956798442772457,-9.285714285714285
10500,0,3.2091313203175864,3.5697715282440186,0.36064020792643225,-1.2000000000000002
10600,0,3.9409604867299404,4.322341998418172,0.3813815216223399,5.0
10700,0,3.430654605229696,3.7918037573496504,0.3611491918563843,-3.75
