Step,Loss,FPS,EvalScore
100,0.07281278736722331,8,
200,0.08728499769698835,5,
300,0.07599305253708738,5,
400,0.142711375784129,5,
500,0.1189412368368357,5,
600,0.10506693053059281,5,
700,0.14208015521988276,4,
800,0.2049374083802103,4,
900,0.25589645653963095,3,
1000,0.29668984983116387,3,
,0.31997305154800415,,10.0
1100,0.2808806025470145,3,
1200,0.3110390423983333,2,
1300,0.30934203781187547,2,
1400,0.33177204802632326,2,
1500,0.33440917581319807,2,
1600,0.3124978955090047,2,
1700,0.3142284741997719,2,
1800,0.2768351598829031,2,
1900,0.27738675005733976,2,
2000,0.27682619865983715,2,
,0.21327558159828186,,10.0
2100,0.3173851263944549,2,
2200,0.3401950831711291,2,
2300,0.31248546242713937,2,
2400,0.3096775254234672,2,
2500,0.2759804136306047,2,
2600,0.2345100135728717,2,
2700,0.28672638393938527,2,
2800,0.2635997591167687,2,
2900,0.27617411434650396,2,
3000,0.26654345348477354,2,
,0.1948818564414978,,5.0
3100,0.2759627380756416,2,
3200,0.28190980333834875,2,
3300,0.2639857358485461,2,
3400,0.29045659396797424,2,
3500,0.2646781535819171,2,
3600,0.28912332180887435,2,
3700,0.26586888752877713,2,
3800,0.29529956869781027,2,
3900,0.284474628530443,2,
4000,0.2964936675503852,2,
,0.15416446328163147,,5.0
4100,0.3358925337517505,2,
4200,0.32055050231516347,2,
4300,0.31560897741466765,2,
4400,0.2835962171480059,2,
4500,0.307290176562965,2,
4600,0.30051311492919924,2,
4700,0.32891509473323827,2,
4800,0.3551114969700573,3,
4900,0.40871712148189565,3,
5000,0.405423762574792,3,
,0.43193942308425903,,25.0
5100,0.44149264663156845,3,
5200,0.44404686555266376,3,
5300,0.49860363200306895,3,
5400,0.5475563010573389,3,
5500,0.6192931821942327,3,
5600,0.6725818067789079,3,
5700,0.6675913709402084,3,
5800,0.7861217951774596,3,
5900,0.7055567283928396,3,
6000,0.8559758540987965,3,
,1.0988500118255615,,25.0
6100,0.7904158880313238,3,
6200,0.7224584533274175,3,
6300,0.5822496166080233,3,
6400,0.5605308440327644,3,
6500,0.5296614383161068,3,
6600,0.4197426990419626,3,
6700,0.4558946881443262,3,
6800,0.47519912108778967,4,
6900,0.4331717482954261,4,
7000,0.44165383353829396,4,
,0.7536783218383789,,10.0
7100,0.451323057063902,4,
7200,0.4594885286688804,4,
7300,0.4078180662542581,4,
7400,0.4247567830979825,4,
7500,0.4022415711730719,4,
7600,0.41890715293586234,4,
7700,0.36455097861588015,4,
7800,0.4060305010899901,4,
7900,0.42246222890913504,4,
8000,0.449118260666728,4,
,0.36158937215805054,,35.0
8100,0.3833645025287011,4,
8200,0.41848183937370775,4,
8300,0.35658861290663507,4,
8400,0.41488475814461695,4,
8500,0.35690836478024707,4,
8600,0.4038125872612,4,
8700,0.37826164089143294,4,
8800,0.4019601909443736,4,
8900,0.3979867029935121,5,
9000,0.3874222464859486,5,
,0.42271968722343445,,10.0
9100,0.3776405555657064,5,
9200,0.393071235343814,5,
9300,0.3798654671758412,5,
9400,0.3495074127614496,5,
9500,0.39632984254509224,5,
9600,0.3740276152268053,5,
9700,0.36928374558687194,5,
9800,0.39593650411814474,5,
9900,0.383187746219337,5,
10000,0.38135657481849206,5,
,0.7540849447250366,,10.0
10100,0.3733758142575469,5,
10200,0.4053988643363118,5,
10300,0.3844783791340887,5,
10400,0.3662725272402166,5,
10500,0.3424130419641733,5,
10600,0.38136425279080854,5,
10700,0.34748805943876493,5,
10800,0.4211301357299089,5,
10900,0.36255522854626143,5,
11000,0.37572354625910515,5,
,0.222042977809906,,35.0
11100,0.37075392115447264,5,
11200,0.35863616771996054,6,
11300,0.37153382748365404,6,
11400,0.3470499285310508,6,
11500,0.3784467145055531,6,
11600,0.33297333195805556,6,
11700,0.3404721989482641,6,
11800,0.32935886919498425,6,
11900,0.31242926392704234,6,
12000,0.36308017067611226,6,
,0.0244884192943573,,10.0
12100,0.37409193638825045,6,
12200,0.36484320551156985,6,
12300,0.38441107057034973,6,
12400,0.32000474724918615,6,
12500,0.3565612272918225,6,
12600,0.37529398541897535,6,
12700,0.34908044423907975,6,
12800,0.3587849942781029,6,
12900,0.39622311148792505,6,
13000,0.3720703821629285,6,
,0.20648688077926636,,35.0
13100,0.33702057505948363,6,
13200,0.3552874236553906,6,
13300,0.37798908717930324,6,
13400,0.39459047000855224,6,
13500,0.33678558714687834,6,
13600,0.336062276698649,6,
13700,0.31616751847788677,6,
13800,0.34548415791243314,6,
13900,0.33780972575768825,6,
14000,0.3425945665314793,6,
,0.3423306345939636,,35.0
14100,0.35614323683760374,7,
14200,0.33987001612782475,7,
14300,0.31271214336156844,7,
14400,0.37708963923156286,7,
14500,0.3200243537314235,7,
14600,0.3029053461179136,7,
14700,0.33793224886059775,7,
14800,0.31997259909287107,7,
14900,0.37579164993017894,7,
15000,0.34620419353246684,7,
,0.2134149968624115,,35.0
15100,0.3418473543768579,7,
15200,0.3457777947187424,7,
15300,0.32113461506552976,7,
15400,0.31787088568322364,7,
15500,0.3198281796649101,7,
15600,0.310293780043721,7,
15700,0.291097589097917,7,
15800,0.298332840502262,7,
15900,0.357781491689384,7,
16000,0.3391864012926818,7,
,0.46965712308883667,,35.0
16100,0.3383473505012012,7,
16200,0.33214081266894935,7,
16300,0.36761319130659115,7,
16400,0.3072937287390232,7,
16500,0.32234564639627933,7,
16600,0.34547951305285096,7,
16700,0.32554105153307356,7,
16800,0.313873730227351,7,
16900,0.3203159318491815,7,
17000,0.3172257847711444,7,
,0.42876172065734863,,10.0
17100,0.31704709118213326,7,
17200,0.3162754184752699,7,
17300,0.3264838946610689,8,
17400,0.3604986826330423,8,
17500,0.31411419931799167,8,
17600,0.27537693218328047,8,
17700,0.3241662084124984,8,
17800,0.34622535016387684,8,
17900,0.3300753768905997,8,
18000,0.3480894203856588,8,
,0.025187622755765915,,10.0
18100,0.2900255137320721,8,
18200,0.2844969563931228,8,
18300,0.32242472622543555,8,
18400,0.3082436296064409,8,
18500,0.3048259687982502,8,
18600,0.30402330163866303,8,
18700,0.2874107398837804,8,
18800,0.3211504502594472,8,
18900,0.3414076411910355,8,
19000,0.367239830363542,8,
,0.551930844783783,,35.0
19100,0.32168078341643636,8,
19200,0.3221903364080937,8,
19300,0.3335473540797831,8,
19400,0.3180153485015035,8,
19500,0.3296975402534008,8,
19600,0.2884396467730405,8,
19700,0.31433062871918066,8,
19800,0.3341896209027621,8,
19900,0.3043982352130113,8,
20000,0.27556600810028603,8,
,0.4089815616607666,,35.0
20100,0.283216805300779,8,
20200,0.33210790921002614,8,
20300,0.29690406447276485,8,
20400,0.3104964841529728,8,
20500,0.2897792927175761,8,
20600,0.31354713222011915,8,
20700,0.3285821795091033,8,
20800,0.3019513383693995,8,
20900,0.30520801033824696,8,
21000,0.3531758586876096,8,
,0.5270562171936035,,10.0
21100,0.30726975238308163,8,
21200,0.33595753939822337,8,
21300,0.29682573096826675,8,
21400,0.30712316017597924,8,
21500,0.3479334277659657,8,
21600,0.30305647687986514,8,
21700,0.3187885905429721,8,
21800,0.3337611070275307,8,
21900,0.3200275916978714,8,
22000,0.3582504692859946,8,
,0.43609651923179626,,39.0
22100,0.3144217234556422,8,
22200,0.3346291478164494,8,
22300,0.2923987071588636,8,
22400,0.32704274524003263,8,
22500,0.3035422995314001,8,
22600,0.3640298013947908,8,
22700,0.3811178025137631,8,
22800,0.3581476013548674,8,
22900,0.3497609789110719,8,
23000,0.3184656589478254,8,
,0.848855197429657,,39.0
23100,0.3739000235618365,8,
23200,0.3754080799780785,8,
23300,0.3807220581173897,8,
23400,0.31824734352529055,8,
23500,0.35195233546197396,8,
23600,0.381429724432528,8,
23700,0.33867928881198145,8,
23800,0.30010999985039216,8,
23900,0.3095945447310805,8,
24000,0.32858856644481427,8,
,0.028811771422624588,,39.0
24100,0.3414046711975123,8,
24200,0.33283218007534754,8,
24300,0.335239905565977,8,
24400,0.33064247018657633,8,
24500,0.34211168855428686,8,
24600,0.2670009816251696,8,
24700,0.241359662655741,8,
24800,0.355952850561589,8,
24900,0.30517669057473534,8,
25000,0.33531889712438,8,
,0.24980135262012482,,10.0
25100,0.31438862050723554,8,
25200,0.3232893927209079,8,
25300,0.3088566890358926,8,
25400,0.360400183312595,8,
25500,0.30910783354192994,8,
25600,0.3372539226897062,8,
25700,0.3520299768261612,8,
25800,0.32050184469670057,8,
25900,0.33228358482941983,8,
26000,0.37615699324756846,8,
,0.17546431720256805,,39.0
26100,0.31639852182883227,8,
26200,0.30138401661068215,8,
26300,0.3455291943810879,8,
26400,0.3629278659820558,8,
26500,0.3399527626857162,8,
26600,0.3085398144461212,8,
26700,0.3374553607963027,8,
26800,0.3301464131474496,8,
26900,0.37135220787487927,8,
27000,0.3219761436618864,8,
,0.6238768100738525,,10.0
27100,0.3242519695800964,8,
27200,0.33773531043902055,8,
27300,0.35591150427237145,8,
27400,0.2957126022502782,8,
27500,0.3253912049345672,8,
27600,0.3679429223202169,8,
27700,0.29327591194771235,8,
27800,0.3283006491325794,8,
27900,0.2923586980812249,8,
28000,0.3257408549264074,8,
,0.351643443107605,,10.0
28100,0.3340067133834267,8,
28200,0.3168306321650743,8,
28300,0.3225848804786801,8,
28400,0.3229609850421548,8,
28500,0.33539501529186955,8,
28600,0.3059746700339021,8,
28700,0.33084976011887196,8,
28800,0.302551519218832,8,
28900,0.3393659024499357,8,
29000,0.33116852851584555,8,
,0.20047858357429504,,39.0
29100,0.3463515881072693,8,
29200,0.3390203453786671,8,
29300,0.29483979377895614,8,
